source_catg,target_catg,delta_times
21886,21934,9.0
21934,21892,6.0
21909,21944,1.0
21874,21835,2.0
21688,21737,4.0
21737,21608,3.0
21608,21737,1.0
21728,21823,1.0
21823,21688,9.0
21688,21899,3.0
21815,21934,6.0
21815,21739,1.0
21934,21823,2.0
21720,21944,4.0
21890,21944,2.0
21933,21707,3.0
21707,21934,1.0
21891,21815,1.0
21934,21720,3.0
21835,21815,2.0
21662,21944,1.0
21638,21933,2.0
21934,21741,2.0
21934,21713,2.0
21891,21718,1.0
21753,21763,6.0
21891,21688,3.0
21779,21790,4.0
21790,21787,1.0
21645,21888,1.0
21888,21879,3.0
21753,21757,2.0
21615,21914,1.0
21733,21899,2.0
21713,21666,2.0
21802,21739,1.0
21842,21638,5.0
21630,21787,7.0
21763,21667,2.0
21779,21813,1.0
21753,21817,1.0
21731,21635,8.0
21752,21817,2.0
21666,21928,3.0
21719,21630,1.0
21710,21645,4.0
21798,21774,1.0
21667,21638,1.0
21688,21641,1.0
21635,21631,1.0
21903,21762,1.0
21728,21791,1.0
21791,21765,2.0
21765,21886,1.0
21659,21791,1.0
21753,21857,9.0
21753,21759,2.0
21645,21933,7.0
21669,21758,1.0
21862,21786,1.0
21635,21665,1.0
21918,21875,7.0
21875,21609,7.0
21609,21892,7.0
21892,21609,6.0
21786,21666,2.0
21688,21686,1.0
21717,21871,1.0
21871,21748,6.0
21688,21653,1.0
21871,21653,2.0
21653,21609,1.0
21678,21825,2.0
21825,21783,1.0
21635,21670,3.0
21678,21779,8.0
21779,21842,7.0
21842,21888,1.0
21820,21892,2.0
21892,21737,1.0
21737,21933,4.0
21933,21758,12.0
21758,21933,6.0
21799,21635,3.0
21886,21783,12.0
21799,21933,6.0
21936,21696,1.0
21799,21748,1.0
21748,21709,1.0
21820,21758,2.0
21799,21639,1.0
21934,21836,3.0
21836,21693,1.0
21693,21934,6.0
21752,21731,1.0
21836,21934,4.0
21645,21934,6.0
21635,21942,1.0
21942,21635,3.0
21844,21888,1.0
21678,21769,3.0
21753,21914,33.0
21798,21758,1.0
21635,21678,47.0
21753,21806,75.0
21898,21888,6.0
21888,21635,16.0
21879,21892,3.0
21688,21939,1.0
21939,21635,9.0
21635,21640,12.0
21640,21799,1.0
21803,21753,1.0
21886,21942,1.0
21840,21857,3.0
21675,21673,1.0
21673,21731,1.0
21836,21942,1.0
21678,21799,4.0
21753,21758,2.0
21758,21890,1.0
21753,21939,40.0
21806,21939,2.0
21786,21688,1.0
21799,21709,1.0
21629,21635,2.0
21933,21914,11.0
21798,21933,3.0
21933,21942,1.0
21942,21758,1.0
21799,21758,1.0
21836,21799,2.0
21799,21688,1.0
21709,21692,1.0
21692,21820,2.0
21718,21753,4.0
21635,21790,1.0
21790,21654,1.0
21737,21783,2.0
21783,21769,1.0
21769,21635,15.0
21786,21820,3.0
21731,21673,1.0
21939,21933,4.0
21635,21770,9.0
21688,21942,1.0
21688,21934,10.0
21731,21933,4.0
21806,21635,2.0
21635,21629,3.0
21933,21939,2.0
21939,21806,1.0
21678,21758,1.0
21803,21934,1.0
21769,21888,1.0
21914,21790,1.0
21815,21753,7.0
21753,21906,1.0
21829,21918,1.0
21933,21856,11.0
21933,21944,6.0
21944,21639,1.0
21639,21718,2.0
21681,21652,3.0
21652,21737,1.0
21944,21896,4.0
21811,21633,1.0
21633,21748,1.0
21748,21697,3.0
21886,21733,4.0
21728,21639,1.0
21639,21635,5.0
21741,21782,1.0
21782,21659,1.0
21659,21843,1.0
21843,21875,2.0
21659,21765,1.0
21772,21856,1.0
21848,21934,1.0
21879,21752,3.0
21752,21630,10.0
21944,21918,13.0
21621,21840,2.0
21843,21898,6.0
21601,21782,1.0
21723,21768,7.0
21779,21741,1.0
21723,21753,2.0
21753,21723,24.0
21779,21898,25.0
21898,21723,4.0
21723,21932,1.0
21898,21601,3.0
21601,21757,1.0
21768,21898,2.0
21898,21768,3.0
21753,21772,135.0
21623,21675,1.0
21723,21940,3.0
21905,21891,1.0
21869,21635,5.0
21667,21934,2.0
21782,21609,5.0
21609,21733,11.0
21811,21944,3.0
21896,21733,2.0
21659,21635,7.0
21635,21628,2.0
21790,21630,1.0
21666,21607,2.0
21647,21763,2.0
21799,21787,1.0
21899,21733,3.0
21764,21899,1.0
21783,21720,4.0
21763,21659,2.0
21678,21756,1.0
21756,21896,3.0
21896,21609,14.0
21898,21713,4.0
21713,21898,1.0
21888,21609,3.0
21659,21753,1.0
21842,21728,4.0
21842,21934,9.0
21934,21939,1.0
21939,21885,1.0
21842,21753,12.0
21753,21636,1.0
21635,21918,61.0
21636,21753,1.0
21939,21752,1.0
21888,21753,6.0
21934,21753,26.0
21896,21752,1.0
21896,21934,2.0
21753,21695,9.0
21886,21695,4.0
21934,21695,2.0
21635,21896,19.0
21739,21886,8.0
21886,21770,1.0
21816,21635,1.0
21756,21737,5.0
21711,21609,3.0
21609,21711,2.0
21798,21678,5.0
21918,21710,24.0
21749,21609,5.0
21899,21892,3.0
21842,21857,2.0
21836,21892,8.0
21779,21640,2.0
21934,21642,2.0
21642,21899,1.0
21899,21815,4.0
21842,21666,11.0
21862,21607,1.0
21862,21645,5.0
21862,21791,1.0
21933,21911,1.0
21911,21806,1.0
21933,21744,1.0
21892,21887,1.0
21842,21739,3.0
21620,21869,1.0
21635,21817,7.0
21944,21772,2.0
21918,21621,9.0
21635,21695,21.0
21898,21749,3.0
21749,21905,1.0
21905,21898,7.0
21645,21640,1.0
21918,21749,8.0
21918,21645,19.0
21645,21752,1.0
21798,21879,2.0
21639,21933,3.0
21798,21733,1.0
21811,21609,22.0
21695,21939,1.0
21939,21695,2.0
21635,21728,1.0
21728,21934,2.0
21645,21820,6.0
21833,21842,2.0
21748,21833,1.0
21833,21748,2.0
21856,21635,2.0
21856,21914,5.0
21741,21707,1.0
21753,21856,11.0
21868,21820,1.0
21783,21757,2.0
21944,21622,2.0
21622,21944,2.0
21737,21652,2.0
21652,21727,2.0
21727,21681,2.0
21862,21815,4.0
21739,21890,1.0
21630,21842,4.0
21772,21720,1.0
21886,21740,5.0
21779,21840,4.0
21840,21688,14.0
21779,21732,3.0
21732,21733,1.0
21898,21718,10.0
21933,21637,2.0
21637,21726,1.0
21733,21823,1.0
21898,21670,1.0
21748,21752,2.0
21886,21620,1.0
21620,21934,1.0
21933,21752,9.0
21752,21896,1.0
21741,21609,2.0
21898,21750,1.0
21703,21718,2.0
21678,21724,1.0
21862,21723,2.0
21879,21720,1.0
21753,21821,22.0
21823,21895,1.0
21895,21635,6.0
21733,21844,1.0
21848,21609,1.0
21601,21879,2.0
21621,21892,3.0
21678,21865,1.0
21753,21638,2.0
21758,21826,2.0
21804,21891,1.0
21891,21778,1.0
21641,21891,1.0
21609,21885,2.0
21763,21885,2.0
21914,21718,3.0
21630,21771,1.0
21668,21783,2.0
21849,21886,1.0
21666,21753,1.0
21659,21645,4.0
21695,21820,8.0
21727,21879,1.0
21666,21888,1.0
21888,21739,1.0
21881,21886,1.0
21844,21879,1.0
21879,21666,8.0
21666,21765,1.0
21718,21739,4.0
21886,21936,3.0
21933,21936,3.0
21630,21936,1.0
21936,21711,1.0
21835,21879,2.0
21823,21918,1.0
21710,21779,7.0
21862,21630,4.0
21890,21637,9.0
21862,21896,1.0
21739,21670,2.0
21670,21886,1.0
21695,21886,2.0
21630,21678,4.0
21659,21638,1.0
21918,21604,3.0
21666,21871,10.0
21779,21733,8.0
21601,21635,3.0
21923,21753,1.0
21710,21834,3.0
21666,21668,3.0
21833,21727,1.0
21833,21923,1.0
21727,21817,1.0
21879,21727,2.0
21727,21820,2.0
21748,21879,5.0
21879,21888,2.0
21642,21733,3.0
21733,21833,1.0
21862,21833,2.0
21857,21720,5.0
21853,21944,12.0
21918,21659,2.0
21674,21609,1.0
21630,21753,6.0
21710,21753,5.0
21944,21753,8.0
21820,21713,1.0
21836,21879,3.0
21635,21798,6.0
21914,21842,5.0
21842,21697,8.0
21898,21728,6.0
21721,21686,3.0
21645,21723,1.0
21944,21761,1.0
21720,21635,9.0
21723,21688,2.0
21787,21918,1.0
21779,21688,10.0
21753,21892,14.0
21609,21640,4.0
21659,21886,1.0
21740,21918,1.0
21727,21835,1.0
21835,21688,7.0
21765,21869,2.0
21869,21677,1.0
21677,21875,1.0
21609,21843,3.0
21909,21678,1.0
21934,21898,4.0
21637,21635,3.0
21738,21944,1.0
21733,21753,6.0
21933,21733,8.0
21710,21638,1.0
21944,21709,2.0
21822,21779,1.0
21842,21696,2.0
21696,21645,1.0
21842,21625,2.0
21857,21898,2.0
21857,21625,1.0
21914,21609,19.0
21842,21928,1.0
21625,21739,2.0
21764,21748,1.0
21739,21914,9.0
21944,21787,1.0
21787,21783,1.0
21651,21733,1.0
21774,21944,1.0
21733,21635,13.0
21756,21695,1.0
21709,21678,2.0
21667,21820,1.0
21609,21778,3.0
21696,21638,2.0
21638,21709,8.0
21918,21885,2.0
21918,21835,8.0
21783,21748,4.0
21783,21842,17.0
21783,21753,16.0
21783,21896,1.0
21836,21933,9.0
21886,21875,4.0
21875,21635,7.0
21723,21772,2.0
21783,21688,13.0
21783,21726,1.0
21726,21748,1.0
21748,21784,3.0
21888,21918,2.0
21783,21914,2.0
21783,21609,7.0
21871,21783,2.0
21898,21665,1.0
21665,21771,1.0
21918,21670,2.0
21670,21899,1.0
21918,21668,3.0
21770,21753,1.0
21718,21688,11.0
21783,21874,1.0
21666,21748,12.0
21898,21871,7.0
21871,21635,10.0
21779,21815,3.0
21892,21935,1.0
21731,21891,1.0
21635,21715,7.0
21843,21933,1.0
21933,21659,2.0
21659,21678,7.0
21752,21933,2.0
21896,21688,10.0
21933,21670,6.0
21670,21635,4.0
21765,21933,4.0
21678,21823,2.0
21823,21896,1.0
21896,21615,2.0
21615,21918,1.0
21918,21748,16.0
21673,21752,1.0
21933,21762,1.0
21836,21748,1.0
21805,21846,1.0
21615,21635,5.0
21944,21763,6.0
21862,21759,1.0
21783,21886,4.0
21609,21896,7.0
21939,21835,1.0
21666,21814,1.0
21640,21886,1.0
21918,21782,7.0
21835,21609,4.0
21678,21888,5.0
21848,21886,1.0
21630,21918,7.0
21888,21763,3.0
21753,21944,5.0
21688,21763,4.0
21753,21762,24.0
21762,21723,1.0
21762,21753,3.0
21821,21762,1.0
21779,21666,14.0
21898,21786,5.0
21678,21890,9.0
21769,21918,6.0
21678,21749,7.0
21782,21896,3.0
21890,21678,1.0
21835,21871,1.0
21748,21871,5.0
21944,21640,2.0
21944,21699,1.0
21944,21891,3.0
21886,21833,9.0
21753,21727,7.0
21797,21757,1.0
21753,21907,7.0
21907,21753,6.0
21856,21821,1.0
21821,21753,2.0
21907,21856,1.0
21856,21940,2.0
21940,21753,9.0
21907,21919,1.0
21753,21744,1.0
21753,21650,4.0
21744,21753,5.0
21856,21783,1.0
21753,21919,16.0
21919,21635,1.0
21862,21918,3.0
21769,21898,8.0
21896,21904,2.0
21904,21933,1.0
21635,21696,3.0
21753,21811,2.0
21836,21835,3.0
21620,21609,5.0
21609,21620,6.0
21879,21710,4.0
21759,21688,1.0
21645,21795,1.0
21757,21786,2.0
21635,21725,1.0
21716,21907,1.0
21635,21771,17.0
21678,21666,25.0
21879,21820,2.0
21899,21713,1.0
21753,21739,22.0
21752,21670,3.0
21879,21918,4.0
21757,21918,1.0
21918,21899,2.0
21752,21621,1.0
21621,21727,2.0
21763,21782,2.0
21820,21898,6.0
21678,21820,13.0
21811,21898,10.0
21779,21796,2.0
21796,21727,1.0
21843,21812,1.0
21753,21779,5.0
21786,21727,1.0
21688,21625,3.0
21635,21685,7.0
21609,21869,2.0
21752,21898,2.0
21619,21842,1.0
21925,21666,1.0
21748,21918,9.0
21811,21842,5.0
21757,21944,4.0
21630,21898,4.0
21898,21757,3.0
21757,21654,1.0
21898,21774,1.0
21774,21898,1.0
21678,21763,4.0
21918,21892,4.0
21879,21678,5.0
21881,21898,1.0
21757,21879,1.0
21879,21642,1.0
21678,21615,4.0
21835,21763,3.0
21723,21630,1.0
21635,21723,2.0
21784,21635,9.0
21755,21753,1.0
21635,21737,7.0
21817,21885,1.0
21753,21755,1.0
21749,21753,3.0
21753,21749,3.0
21635,21932,18.0
21798,21601,1.0
21778,21898,2.0
21686,21678,1.0
21944,21637,4.0
21630,21933,6.0
21609,21787,2.0
21674,21787,2.0
21792,21913,1.0
21835,21891,3.0
21934,21752,9.0
21642,21763,1.0
21728,21871,1.0
21871,21609,2.0
21635,21872,1.0
21934,21811,1.0
21811,21757,1.0
21859,21635,9.0
21660,21871,4.0
21609,21653,3.0
21695,21871,3.0
21871,21695,2.0
21635,21819,2.0
21642,21645,5.0
21642,21667,2.0
21817,21659,1.0
21783,21645,1.0
21642,21817,2.0
21645,21797,1.0
21914,21797,1.0
21763,21758,1.0
21710,21890,3.0
21890,21914,2.0
21914,21783,4.0
21783,21710,4.0
21727,21913,4.0
21637,21727,6.0
21727,21896,1.0
21637,21934,1.0
21934,21652,4.0
21914,21733,3.0
21753,21733,14.0
21944,21662,1.0
21886,21638,2.0
21609,21764,1.0
21764,21886,1.0
21678,21896,9.0
21933,21875,7.0
21875,21678,7.0
21681,21620,1.0
21620,21944,2.0
21918,21727,5.0
21933,21676,3.0
21676,21678,1.0
21898,21748,3.0
21892,21886,9.0
21914,21608,1.0
21608,21886,2.0
21886,21815,6.0
21783,21676,1.0
21676,21933,2.0
21630,21705,2.0
21705,21752,1.0
21815,21609,5.0
21871,21933,5.0
21738,21933,4.0
21688,21896,2.0
21898,21933,37.0
21918,21728,1.0
21728,21890,1.0
21890,21728,1.0
21635,21833,3.0
21886,21811,11.0
21638,21758,1.0
21637,21890,5.0
21842,21741,1.0
21811,21635,32.0
21709,21886,3.0
21811,21700,1.0
21700,21898,5.0
21898,21686,7.0
21686,21914,1.0
21835,21892,8.0
21680,21733,1.0
21833,21753,4.0
21686,21779,1.0
21779,21944,11.0
21710,21798,1.0
21681,21875,1.0
21918,21879,12.0
21899,21752,3.0
21933,21782,2.0
21879,21741,1.0
21825,21635,2.0
21892,21709,2.0
21842,21884,1.0
21918,21638,5.0
21752,21842,3.0
21701,21688,1.0
21815,21840,2.0
21671,21705,1.0
21918,21857,1.0
21731,21857,1.0
21753,21859,5.0
21772,21859,1.0
21741,21914,1.0
21944,21843,1.0
21842,21786,4.0
21713,21721,1.0
21733,21784,1.0
21727,21944,4.0
21748,21783,1.0
21933,21785,1.0
21811,21820,2.0
21635,21682,7.0
21835,21933,2.0
21782,21843,1.0
21843,21635,4.0
21668,21640,2.0
21914,21675,1.0
21666,21926,1.0
21609,21880,1.0
21880,21666,1.0
21811,21778,1.0
21862,21914,4.0
21840,21635,11.0
21892,21630,11.0
21944,21836,2.0
21903,21748,1.0
21820,21748,2.0
21798,21888,1.0
21888,21619,2.0
21619,21635,3.0
21635,21681,1.0
21891,21757,2.0
21757,21705,1.0
21693,21825,1.0
21892,21787,6.0
21787,21752,2.0
21815,21871,1.0
21621,21635,12.0
21823,21784,1.0
21739,21757,4.0
21654,21892,1.0
21835,21727,2.0
21753,21655,3.0
21633,21630,1.0
21787,21635,8.0
21748,21727,5.0
21753,21787,5.0
21632,21635,3.0
21886,21615,1.0
21784,21787,2.0
21710,21853,1.0
21815,21783,1.0
21944,21778,2.0
21727,21815,1.0
21678,21871,10.0
21934,21609,7.0
21753,21737,3.0
21896,21843,1.0
21843,21767,2.0
21898,21727,3.0
21609,21835,4.0
21753,21825,1.0
21825,21934,1.0
21609,21887,2.0
21753,21658,1.0
21780,21887,1.0
21887,21848,1.0
21696,21933,2.0
21842,21806,4.0
21632,21842,2.0
21820,21914,24.0
21635,21632,4.0
21635,21885,4.0
21739,21857,5.0
21645,21918,4.0
21841,21783,1.0
21842,21630,5.0
21641,21630,3.0
21678,21770,3.0
21782,21933,1.0
21933,21727,2.0
21782,21757,1.0
21757,21731,2.0
21772,21898,6.0
21914,21815,3.0
21709,21727,1.0
21875,21914,3.0
21914,21727,1.0
21914,21898,14.0
21686,21727,1.0
21713,21635,6.0
21604,21892,1.0
21727,21754,1.0
21926,21678,2.0
21771,21680,1.0
21835,21918,5.0
21760,21635,4.0
21862,21760,1.0
21871,21899,3.0
21760,21842,1.0
21842,21760,1.0
21741,21841,1.0
21934,21681,3.0
21748,21609,4.0
21857,21783,4.0
21718,21841,2.0
21841,21666,1.0
21895,21609,2.0
21848,21635,4.0
21697,21635,10.0
21739,21766,2.0
21811,21792,1.0
21609,21815,4.0
21888,21647,1.0
21749,21671,1.0
21748,21637,2.0
21798,21944,1.0
21944,21620,2.0
21840,21739,4.0
21931,21918,2.0
21809,21763,1.0
21737,21853,2.0
21783,21718,1.0
21710,21913,4.0
21652,21853,1.0
21913,21710,1.0
21842,21890,8.0
21753,21842,15.0
21635,21910,1.0
21630,21910,1.0
21933,21910,1.0
21944,21910,2.0
21910,21637,2.0
21931,21690,1.0
21896,21918,15.0
21896,21931,1.0
21931,21910,1.0
21899,21931,1.0
21934,21914,6.0
21609,21888,2.0
21817,21865,1.0
21838,21944,1.0
21690,21753,3.0
21667,21787,1.0
21842,21875,4.0
21887,21609,1.0
21918,21842,21.0
21718,21934,3.0
21718,21629,1.0
21733,21681,1.0
21727,21630,2.0
21678,21815,3.0
21710,21678,2.0
21652,21688,1.0
21739,21707,1.0
21778,21934,1.0
21757,21615,1.0
21913,21835,1.0
21890,21668,2.0
21635,21782,3.0
21666,21615,1.0
21752,21666,5.0
21752,21835,11.0
21875,21782,2.0
21918,21779,7.0
21635,21913,7.0
21898,21618,1.0
21618,21635,1.0
21875,21944,2.0
21710,21727,1.0
21727,21603,1.0
21603,21898,3.0
21710,21820,1.0
21769,21652,1.0
21779,21710,3.0
21811,21753,6.0
21758,21944,1.0
21678,21717,1.0
21933,21778,1.0
21778,21765,1.0
21811,21779,3.0
21779,21914,9.0
21886,21705,1.0
21727,21763,2.0
21753,21784,4.0
21737,21678,9.0
21678,21764,1.0
21833,21737,4.0
21857,21840,3.0
21857,21936,1.0
21609,21749,2.0
21711,21932,1.0
21798,21790,1.0
21782,21875,1.0
21624,21630,1.0
21726,21678,1.0
21688,21734,1.0
21815,21914,2.0
21697,21732,1.0
21879,21763,5.0
21670,21918,1.0
21918,21905,9.0
21933,21888,5.0
21888,21670,1.0
21666,21709,5.0
21670,21933,1.0
21918,21888,3.0
21820,21638,3.0
21753,21601,1.0
21601,21615,1.0
21749,21635,4.0
21910,21666,1.0
21835,21914,8.0
21857,21609,5.0
21946,21820,1.0
21609,21863,2.0
21609,21797,3.0
21635,21767,4.0
21635,21697,5.0
21727,21871,2.0
21666,21782,1.0
21645,21817,1.0
21869,21886,1.0
21933,21767,1.0
21767,21933,1.0
21871,21898,6.0
21733,21933,5.0
21798,21815,8.0
21871,21777,2.0
21777,21635,1.0
21748,21896,4.0
21896,21871,3.0
21871,21666,8.0
21944,21645,10.0
21678,21944,3.0
21779,21857,1.0
21857,21843,1.0
21635,21718,7.0
21635,21653,2.0
21876,21842,3.0
21609,21871,9.0
21871,21688,4.0
21944,21798,3.0
21933,21779,7.0
21763,21686,1.0
21710,21767,1.0
21630,21681,3.0
21675,21748,1.0
21783,21807,1.0
21737,21906,2.0
21807,21790,1.0
21807,21757,2.0
21807,21718,1.0
21695,21608,2.0
21862,21695,2.0
21713,21695,1.0
21674,21841,1.0
21609,21686,2.0
21934,21891,1.0
21678,21645,5.0
21645,21769,2.0
21934,21678,6.0
21841,21753,2.0
21907,21671,1.0
21739,21780,1.0
21739,21840,4.0
21792,21697,2.0
21697,21792,4.0
21792,21739,1.0
21678,21806,1.0
21739,21654,1.0
21654,21678,3.0
21933,21661,1.0
21688,21779,12.0
21732,21617,1.0
21739,21842,9.0
21609,21738,3.0
21738,21609,2.0
21654,21739,1.0
21654,21688,1.0
21760,21739,1.0
21688,21881,1.0
21881,21609,1.0
21892,21654,2.0
21739,21609,4.0
21688,21764,1.0
21764,21621,1.0
21678,21811,4.0
21757,21688,2.0
21803,21678,1.0
21668,21834,1.0
21710,21659,2.0
21659,21779,3.0
21779,21763,7.0
21645,21685,1.0
21898,21843,5.0
21898,21896,6.0
21892,21752,5.0
21753,21932,18.0
21892,21914,13.0
21753,21667,13.0
21876,21836,1.0
21876,21753,2.0
21876,21642,1.0
21944,21862,1.0
21815,21678,5.0
21886,21716,1.0
21750,21842,1.0
21782,21697,3.0
21752,21906,1.0
21697,21678,18.0
21659,21820,1.0
21713,21787,1.0
21609,21643,1.0
21688,21731,2.0
21630,21604,1.0
21756,21609,6.0
21756,21718,2.0
21718,21782,1.0
21782,21727,1.0
21695,21609,14.0
21695,21914,4.0
21666,21879,3.0
21671,21635,8.0
21633,21678,8.0
21635,21809,3.0
21835,21668,1.0
21733,21820,11.0
21933,21863,5.0
21863,21820,14.0
21933,21769,23.0
21933,21629,2.0
21842,21623,3.0
21688,21787,6.0
21779,21811,3.0
21688,21811,5.0
21898,21700,4.0
21700,21609,2.0
21635,21811,12.0
21811,21892,1.0
21719,21848,1.0
21688,21914,11.0
21772,21635,33.0
21896,21637,1.0
21635,21772,14.0
21630,21786,1.0
21727,21688,4.0
21892,21695,1.0
21695,21727,2.0
21727,21695,3.0
21825,21879,1.0
21879,21934,2.0
21890,21820,4.0
21697,21714,1.0
21638,21898,1.0
21926,21779,5.0
21934,21731,2.0
21769,21625,1.0
21737,21782,1.0
21769,21703,2.0
21619,21826,1.0
21805,21678,1.0
21833,21862,1.0
21696,21779,1.0
21652,21635,1.0
21933,21811,10.0
21811,21630,1.0
21635,21756,7.0
21779,21635,32.0
21733,21862,2.0
21645,21759,2.0
21753,21717,29.0
21753,21791,2.0
21609,21666,9.0
21842,21869,2.0
21933,21869,5.0
21925,21786,4.0
21666,21724,1.0
21859,21791,1.0
21765,21678,1.0
21933,21765,2.0
21765,21791,1.0
21791,21896,1.0
21933,21804,1.0
21879,21933,5.0
21835,21886,6.0
21656,21892,1.0
21697,21615,2.0
21615,21798,1.0
21737,21609,17.0
21678,21642,4.0
21642,21739,2.0
21804,21666,1.0
21784,21778,2.0
21857,21842,5.0
21899,21638,1.0
21857,21875,1.0
21609,21936,3.0
21624,21657,1.0
21627,21944,2.0
21635,21888,15.0
21941,21815,1.0
21791,21666,1.0
21932,21918,3.0
21886,21836,2.0
21933,21763,6.0
21944,21703,5.0
21643,21944,4.0
21842,21720,3.0
21842,21645,5.0
21905,21763,3.0
21635,21686,1.0
21886,21652,1.0
21857,21905,2.0
21842,21886,9.0
21621,21890,1.0
21753,21752,4.0
21752,21753,2.0
21898,21765,2.0
21723,21934,1.0
21757,21835,7.0
21885,21898,1.0
21857,21811,1.0
21898,21767,7.0
21898,21741,3.0
21645,21737,4.0
21756,21720,1.0
21678,21783,4.0
21820,21786,4.0
21737,21620,1.0
21620,21888,1.0
21635,21843,5.0
21811,21896,2.0
21899,21898,3.0
21752,21914,6.0
21914,21835,4.0
21609,21833,2.0
21833,21609,4.0
21784,21727,1.0
21749,21898,3.0
21778,21695,1.0
21783,21899,2.0
21805,21635,1.0
21638,21786,1.0
21833,21913,1.0
21763,21715,2.0
21637,21841,1.0
21918,21871,10.0
21737,21757,1.0
21666,21925,1.0
21898,21633,2.0
21871,21763,3.0
21696,21688,5.0
21645,21718,3.0
21876,21739,1.0
21842,21833,2.0
21823,21759,2.0
21840,21710,1.0
21739,21659,3.0
21659,21862,1.0
21635,21927,2.0
21927,21715,1.0
21933,21840,7.0
21913,21933,1.0
21688,21859,1.0
21841,21797,1.0
21925,21918,1.0
21925,21753,1.0
21734,21753,5.0
21757,21630,2.0
21918,21723,2.0
21741,21750,1.0
21750,21754,1.0
21647,21630,2.0
21647,21688,5.0
21710,21856,2.0
21857,21666,3.0
21899,21786,1.0
21783,21888,5.0
21886,21786,2.0
21914,21748,2.0
21739,21748,4.0
21748,21892,4.0
21673,21748,1.0
21898,21932,1.0
21779,21752,1.0
21898,21621,10.0
21899,21927,1.0
21914,21833,1.0
21944,21621,5.0
21786,21862,2.0
21862,21888,3.0
21862,21934,7.0
21787,21609,4.0
21688,21862,7.0
21862,21802,1.0
21763,21688,2.0
21783,21653,2.0
21850,21811,1.0
21752,21778,2.0
21637,21748,2.0
21888,21836,2.0
21892,21733,1.0
21753,21747,3.0
21913,21739,1.0
21771,21834,1.0
21833,21944,1.0
21737,21733,4.0
21835,21630,6.0
21630,21914,1.0
21635,21671,5.0
21671,21753,6.0
21645,21765,2.0
21844,21863,1.0
21728,21790,2.0
21720,21918,1.0
21914,21715,2.0
21932,21630,2.0
21645,21857,2.0
21713,21836,1.0
21918,21931,5.0
21774,21931,1.0
21820,21720,2.0
21779,21934,1.0
21886,21892,4.0
21752,21629,1.0
21842,21778,2.0
21886,21697,9.0
21635,21675,5.0
21898,21708,1.0
21836,21898,4.0
21842,21708,1.0
21674,21666,2.0
21820,21690,6.0
21666,21733,4.0
21862,21666,2.0
21823,21733,1.0
21898,21705,1.0
21705,21763,1.0
21666,21618,1.0
21618,21666,1.0
21782,21666,3.0
21748,21875,1.0
21783,21678,6.0
21635,21647,2.0
21898,21862,7.0
21898,21907,4.0
21647,21678,3.0
21811,21678,4.0
21862,21898,3.0
21717,21647,1.0
21647,21892,1.0
21823,21836,5.0
21842,21823,40.0
21752,21688,2.0
21728,21886,2.0
21823,21842,3.0
21823,21697,2.0
21752,21730,2.0
21823,21886,4.0
21823,21862,1.0
21819,21914,1.0
21914,21640,3.0
21702,21896,2.0
21918,21907,1.0
21790,21720,1.0
21720,21815,1.0
21754,21748,1.0
21944,21688,4.0
21832,21944,1.0
21671,21881,1.0
21944,21671,2.0
21730,21733,1.0
21601,21843,1.0
21753,21931,11.0
21688,21739,3.0
21750,21761,1.0
21778,21914,1.0
21669,21630,1.0
21733,21732,1.0
21886,21674,1.0
21785,21667,1.0
21779,21909,2.0
21909,21621,1.0
21886,21906,1.0
21798,21809,1.0
21645,21621,2.0
21621,21645,5.0
21871,21815,3.0
21645,21842,2.0
21764,21625,1.0
21625,21879,1.0
21710,21688,3.0
21879,21871,1.0
21934,21645,3.0
21705,21645,1.0
21797,21710,1.0
21645,21686,1.0
21863,21630,1.0
21695,21709,3.0
21737,21710,2.0
21727,21718,1.0
21666,21811,1.0
21811,21888,1.0
21862,21753,7.0
21668,21890,1.0
21857,21678,3.0
21857,21879,3.0
21857,21630,1.0
21944,21820,4.0
21690,21820,2.0
21771,21918,3.0
21890,21741,2.0
21737,21792,4.0
21886,21819,1.0
21886,21667,1.0
21740,21718,3.0
21823,21642,2.0
21871,21754,1.0
21842,21811,1.0
21757,21609,2.0
21881,21635,6.0
21905,21752,1.0
21723,21752,1.0
21615,21886,1.0
21780,21638,1.0
21615,21820,2.0
21748,21820,4.0
21666,21922,2.0
21733,21640,1.0
21933,21693,1.0
21693,21731,1.0
21932,21753,9.0
21873,21621,1.0
21909,21787,2.0
21609,21674,3.0
21674,21627,1.0
21627,21674,3.0
21914,21930,2.0
21623,21930,1.0
21914,21696,3.0
21696,21798,1.0
21895,21914,1.0
21895,21835,1.0
21835,21836,4.0
21836,21638,1.0
21770,21752,1.0
21697,21888,1.0
21888,21678,2.0
21678,21836,6.0
21635,21895,2.0
21895,21836,1.0
21836,21914,7.0
21895,21688,3.0
21836,21678,7.0
21623,21914,1.0
21836,21842,5.0
21842,21653,1.0
21739,21895,1.0
21895,21930,1.0
21930,21710,1.0
21930,21914,1.0
21678,21895,1.0
21688,21771,3.0
21727,21752,3.0
21733,21790,2.0
21718,21843,1.0
21843,21835,1.0
21925,21805,1.0
21667,21653,1.0
21720,21934,5.0
21753,21934,15.0
21753,21871,1.0
21783,21671,3.0
21914,21809,1.0
21678,21914,14.0
21923,21640,1.0
21914,21879,2.0
21739,21836,7.0
21899,21934,3.0
21934,21723,3.0
21815,21642,1.0
21720,21670,1.0
