source_poi,target_poi,delta_times
14084,16979,2.0
8464,11951,1.0
16979,13354,4.0
13354,12225,2.0
12225,11951,7.0
13354,11951,1.0
16979,11951,1.0
16979,12225,8.0
20234,12225,1.0
11951,15912,1.0
16979,10619,3.0
10619,11951,2.0
11741,14084,1.0
18799,11951,1.0
16979,14654,1.0
14654,12039,1.0
15656,12225,1.0
15912,12847,1.0
20234,13354,1.0
13354,11231,1.0
12039,12225,1.0
20234,16979,1.0
15656,14159,1.0
14159,13354,1.0
10619,12225,3.0
12863,15912,1.0
19605,20153,4.0
11711,18901,1.0
14990,8072,1.0
14159,16014,1.0
16014,16747,1.0
16747,19684,2.0
8999,7827,2.0
8999,18399,5.0
15639,9990,1.0
16088,12956,2.0
12956,15505,2.0
15505,16995,1.0
10364,8863,1.0
8863,13078,1.0
18686,13300,1.0
18334,16847,1.0
19126,19994,1.0
10232,9337,1.0
19994,16814,1.0
15761,14508,1.0
14773,18334,1.0
11023,19126,1.0
14124,19618,2.0
19618,15186,1.0
17655,18698,1.0
10072,12928,1.0
10965,7477,1.0
9988,20899,1.0
7688,10312,2.0
10312,17011,1.0
10312,7688,1.0
7688,18730,4.0
18730,10312,1.0
14131,13928,3.0
18556,16139,1.0
11241,6976,1.0
6976,20244,1.0
20244,9685,1.0
17611,16422,5.0
21153,13330,1.0
19820,8891,1.0
7827,19695,1.0
16422,6976,1.0
9947,8837,1.0
13975,9947,1.0
9947,15729,1.0
15729,18836,1.0
14124,18606,6.0
18606,16014,1.0
9013,11261,1.0
16565,12207,2.0
12207,13318,2.0
20724,11042,1.0
9002,7249,1.0
16164,20102,1.0
20102,20902,1.0
19154,13897,1.0
16178,16576,1.0
20428,8517,1.0
7503,20191,1.0
20760,9477,27.0
9477,20780,1.0
16161,10958,1.0
18529,9477,1.0
9477,8865,5.0
11189,16750,1.0
20760,19437,4.0
19437,9477,5.0
8865,12940,1.0
12940,9477,1.0
19437,8865,1.0
8865,9328,2.0
9328,9477,1.0
9477,15774,1.0
19437,7655,1.0
9477,20760,1.0
20760,16161,1.0
20760,16206,1.0
16161,20760,4.0
8865,13606,1.0
20760,13606,2.0
9477,7655,4.0
7655,20302,1.0
20760,10958,1.0
20760,7744,1.0
9477,20434,2.0
20760,12940,4.0
16161,9477,1.0
8988,11840,1.0
11840,9238,1.0
6970,14145,3.0
16097,20661,3.0
8109,6970,1.0
20661,18089,2.0
12743,6970,1.0
15110,21278,1.0
8050,19675,1.0
19675,12171,2.0
12171,7968,2.0
6970,14826,1.0
16097,6970,1.0
14145,13141,1.0
13141,8919,1.0
13436,13843,1.0
9700,14145,1.0
16097,16081,1.0
16081,20428,2.0
20428,9752,1.0
10899,17924,1.0
21268,7649,2.0
20106,18191,1.0
7723,12245,2.0
8730,13274,6.0
8746,18251,2.0
14735,14048,1.0
14735,17675,1.0
14735,11594,1.0
9342,14735,2.0
14735,13821,1.0
15295,14318,1.0
9342,12584,1.0
11692,8868,1.0
11692,19555,3.0
7216,11124,1.0
7216,9237,1.0
9237,10190,7.0
19555,9237,1.0
11124,10190,1.0
9237,20016,1.0
13318,12207,2.0
12207,16565,1.0
21088,18339,1.0
14165,13553,1.0
13553,11485,1.0
13553,14165,1.0
17159,20724,1.0
17500,17159,1.0
17159,16544,1.0
7227,15251,8.0
9606,9674,1.0
12862,18918,1.0
13251,14588,1.0
21414,12573,1.0
10470,16747,1.0
18539,10655,1.0
8820,21184,3.0
10577,12988,1.0
19312,8517,1.0
16544,14124,6.0
21517,21249,1.0
9240,13218,1.0
21322,12030,1.0
13526,9240,5.0
9580,7900,1.0
18606,8189,1.0
15130,14128,1.0
9301,11367,1.0
15754,12988,8.0
12988,14453,2.0
11626,17588,1.0
8411,7985,1.0
9769,7660,1.0
9769,16054,1.0
9263,18606,1.0
14532,12511,3.0
15108,8820,1.0
18539,13535,1.0
12385,12905,2.0
12385,19940,2.0
9238,16307,2.0
11973,12792,1.0
14532,8379,1.0
8379,12591,1.0
10727,17935,2.0
9191,20244,1.0
13458,7196,1.0
20244,6976,2.0
6976,9191,2.0
10660,20244,1.0
15945,8807,1.0
20244,9191,1.0
13650,7247,1.0
7247,18091,1.0
17345,10391,1.0
16793,9678,1.0
8615,11889,1.0
15280,13996,2.0
11117,20905,1.0
13458,8807,1.0
17260,15280,1.0
21255,15658,1.0
16288,15592,1.0
18576,15674,1.0
8659,16440,1.0
17282,8730,1.0
11787,21069,2.0
13354,7465,3.0
13354,11498,2.0
10906,11231,1.0
17721,19167,1.0
17721,19553,1.0
14450,14706,1.0
11780,12611,1.0
7968,12031,2.0
16117,15315,1.0
21268,20396,1.0
8820,20694,1.0
9262,17598,1.0
20353,12385,1.0
12385,20457,1.0
20457,11369,1.0
15816,14919,2.0
14919,20258,2.0
20258,17260,2.0
17260,20410,3.0
20410,7418,1.0
16983,11194,1.0
9234,9238,1.0
11661,21472,1.0
10442,9360,4.0
9360,8045,3.0
18094,8198,2.0
9360,18094,3.0
11936,7225,1.0
18094,12087,3.0
8045,13473,1.0
12380,18653,1.0
18653,8291,1.0
8291,19450,1.0
8498,7860,1.0
7860,8498,1.0
12501,16898,1.0
10442,13473,7.0
13473,10442,6.0
10442,18094,1.0
8045,10442,2.0
8045,8246,1.0
8045,14949,1.0
14949,18094,1.0
12600,12087,1.0
12600,18094,4.0
10442,8045,1.0
17989,8045,2.0
12600,16898,2.0
16898,18094,3.0
19537,7252,1.0
7252,8045,1.0
18994,8924,1.0
16057,8045,2.0
9467,8045,1.0
8045,11296,1.0
8291,21541,1.0
8045,19537,1.0
13473,18653,1.0
12600,16057,1.0
16057,14103,1.0
14103,18752,2.0
14103,18094,1.0
10744,19971,1.0
17989,18094,2.0
20546,18094,1.0
18653,8198,1.0
13473,20546,1.0
17989,9360,1.0
17683,12303,1.0
20774,15176,1.0
21414,14610,5.0
20244,15909,1.0
14571,8755,1.0
20624,18565,1.0
18565,6977,1.0
11146,10223,1.0
6977,18578,1.0
11146,17925,1.0
18578,20624,1.0
6977,15884,1.0
18108,11172,1.0
8977,9034,1.0
17683,8977,1.0
21496,8730,1.0
16766,8730,1.0
14224,15447,1.0
11894,21080,1.0
8977,17683,1.0
17683,19374,1.0
18108,18432,1.0
19698,9558,1.0
14574,11894,1.0
9697,13412,1.0
10751,13412,2.0
13412,9697,1.0
8367,15107,1.0
12928,11838,2.0
11838,14124,1.0
9190,10958,1.0
10958,16673,1.0
16673,15535,1.0
8591,20244,1.0
8700,20462,1.0
20724,18606,12.0
18606,14627,1.0
17744,8190,2.0
20033,19992,3.0
18507,17933,1.0
17933,11212,1.0
11212,12215,1.0
12215,8564,1.0
12287,9138,1.0
8012,20312,1.0
13415,12316,1.0
20019,14659,1.0
14659,13536,1.0
18507,8331,1.0
11913,10747,1.0
13633,9832,1.0
9832,21391,1.0
19065,8057,1.0
8587,17688,1.0
16571,12385,1.0
9505,12090,1.0
12090,9245,2.0
9245,19122,3.0
21268,16189,1.0
11180,12687,1.0
12687,20334,1.0
7737,12746,1.0
12671,10052,1.0
10052,19321,1.0
19321,20829,1.0
20829,7517,1.0
14890,10122,1.0
10122,11853,1.0
14873,14124,2.0
8680,19122,1.0
13768,11950,1.0
11546,14759,1.0
12201,19116,1.0
9245,21552,2.0
12374,19315,1.0
19315,15802,1.0
14124,19419,1.0
19419,19315,1.0
12385,9086,5.0
12385,12090,15.0
16724,9245,1.0
11231,9083,2.0
16232,10003,4.0
14710,12251,1.0
18873,10003,1.0
10003,18873,1.0
9238,14759,2.0
14759,16531,2.0
21349,10003,1.0
9234,13073,3.0
12928,8846,1.0
14834,7054,1.0
20635,20011,1.0
21433,16236,1.0
7968,16182,5.0
12817,19490,1.0
20011,21433,1.0
20937,20011,1.0
20635,11700,1.0
20011,11933,1.0
20011,8858,1.0
8858,11933,1.0
11474,18609,1.0
14103,21351,3.0
20624,14103,1.0
10650,14114,1.0
14114,20624,1.0
16747,9238,3.0
16224,21507,1.0
21507,15934,1.0
15934,10219,1.0
10219,20069,1.0
20069,21507,1.0
19715,15934,1.0
14159,16858,6.0
16858,9176,2.0
9176,14627,1.0
18420,14176,3.0
14627,18420,6.0
18420,20871,1.0
18420,14159,2.0
14159,8156,2.0
14627,11922,1.0
11922,12598,1.0
10650,19643,1.0
14484,19643,2.0
19643,19537,1.0
19537,10078,2.0
13473,14484,1.0
15933,11184,3.0
18473,17701,1.0
17701,19221,1.0
18606,10422,1.0
18058,12132,1.0
9649,18358,1.0
14957,19778,1.0
19778,10367,2.0
10367,14391,1.0
14391,19778,1.0
18196,19778,1.0
12581,7561,1.0
7561,20967,1.0
20967,20076,1.0
18463,19778,1.0
19778,18196,1.0
7724,18714,3.0
18714,15176,8.0
15176,6985,14.0
19645,15176,1.0
10746,21244,3.0
16375,6985,11.0
6985,19645,20.0
19645,12276,1.0
12276,20871,1.0
15176,19645,8.0
18714,16375,25.0
15176,18714,2.0
18714,21244,7.0
18240,10746,2.0
19645,19315,1.0
18714,8562,2.0
8562,12061,1.0
12061,8238,1.0
8238,6985,1.0
17844,12061,1.0
12061,7616,1.0
10746,18714,6.0
15176,14434,2.0
6985,17119,1.0
17119,13796,2.0
13796,10746,3.0
8820,9238,6.0
9238,10746,2.0
18714,8444,2.0
8444,15912,2.0
15912,18606,2.0
18606,10532,3.0
10532,11609,1.0
11609,16869,1.0
16869,16350,1.0
16350,21287,1.0
21287,10364,1.0
10364,9750,1.0
18714,21374,1.0
21374,9081,1.0
9081,13935,1.0
13935,18608,1.0
16744,15984,1.0
10746,18097,1.0
18714,18723,1.0
18723,19645,1.0
8444,15624,1.0
15624,18809,1.0
18809,19645,1.0
16375,7021,1.0
7021,15228,1.0
15228,13796,1.0
21244,16375,2.0
16375,20694,1.0
20694,18714,1.0
7466,9348,1.0
9348,19131,1.0
19131,8578,1.0
10746,9238,4.0
9238,12061,2.0
12061,8341,1.0
19645,20871,1.0
20871,9344,1.0
9344,13796,1.0
13796,18714,2.0
11660,10965,1.0
11413,19407,1.0
19407,9806,1.0
9806,21363,1.0
21363,13615,1.0
13615,19907,1.0
19907,16747,1.0
16747,19279,4.0
6985,9238,1.0
9238,11390,1.0
11390,7546,1.0
7546,18714,1.0
18714,19645,1.0
19645,18714,2.0
10746,19567,1.0
19567,21244,1.0
20790,20982,1.0
20982,21010,1.0
21244,7021,1.0
7021,16483,1.0
9238,14841,1.0
14841,16375,1.0
16375,19645,3.0
15176,18723,3.0
18723,17335,2.0
17335,15176,1.0
21518,12863,3.0
12863,17118,1.0
17118,14704,1.0
14704,11780,1.0
16375,20871,1.0
20871,9909,1.0
9909,17119,1.0
17119,10746,1.0
18714,6985,2.0
19645,10746,1.0
19419,18714,1.0
20982,9344,1.0
15228,9909,1.0
9909,21044,2.0
21044,11642,1.0
19279,20179,1.0
18240,9856,1.0
9856,20790,1.0
20790,10746,1.0
8507,10049,1.0
10049,10746,1.0
14434,20987,1.0
20987,18714,1.0
18714,13252,1.0
13252,12385,1.0
12385,9397,1.0
9397,9505,1.0
9505,8454,1.0
8454,10746,1.0
20257,18714,1.0
15176,17985,2.0
17985,18714,1.0
19645,15102,1.0
15102,13425,1.0
12352,11413,1.0
11413,11573,1.0
11573,16741,1.0
16741,19256,1.0
19256,7556,1.0
7556,11964,1.0
11964,16292,1.0
16292,7217,1.0
7217,7827,1.0
16747,7724,2.0
14759,6985,1.0
19645,9238,1.0
12684,8507,1.0
8507,10746,1.0
20982,17119,1.0
9238,11327,1.0
21244,8444,1.0
8444,7836,1.0
7836,8692,1.0
8692,13777,1.0
13777,15758,1.0
15758,19670,1.0
8820,17462,1.0
17462,19998,1.0
15176,9681,2.0
9681,15102,1.0
15102,9681,1.0
9681,10746,1.0
16747,6985,1.0
16375,7724,1.0
9527,12352,1.0
11413,18709,1.0
18709,7724,1.0
15176,13425,1.0
13425,18714,1.0
19645,12129,1.0
12129,18714,1.0
21244,18714,2.0
10746,8562,1.0
8562,17326,1.0
18714,14870,1.0
14870,19645,1.0
14619,20912,1.0
10837,13267,1.0
12883,17473,3.0
14627,8504,4.0
11539,14536,1.0
7692,17995,2.0
17995,18552,4.0
17168,10484,2.0
17168,18497,1.0
12620,13689,1.0
13689,13680,1.0
7692,16512,1.0
16512,12894,1.0
7237,19015,1.0
19015,7877,1.0
14295,17817,1.0
17817,14037,1.0
14037,8522,1.0
8522,13104,1.0
13104,10308,1.0
10308,13104,1.0
14256,19154,2.0
19154,12766,2.0
14271,8685,1.0
12095,8685,1.0
8685,18383,1.0
12445,12044,1.0
18809,16747,1.0
16747,8999,1.0
18984,8587,1.0
18228,18148,1.0
7436,21358,1.0
14124,20982,1.0
19783,12527,4.0
14367,9665,1.0
21268,20457,4.0
8189,11600,1.0
8700,14919,1.0
14919,12766,3.0
18606,9238,2.0
14814,19413,4.0
19413,17330,1.0
20069,8854,1.0
8399,19413,1.0
13294,10273,1.0
9053,15888,2.0
14124,13732,1.0
13732,8719,1.0
13934,10801,1.0
10801,11129,1.0
16004,15284,1.0
14995,7042,1.0
7042,20069,2.0
7404,16808,1.0
9238,15108,1.0
16307,14532,1.0
7827,21153,2.0
15701,11747,2.0
11747,7827,1.0
11909,20769,1.0
14046,16183,1.0
16183,20009,1.0
19263,12988,1.0
12988,18852,1.0
7883,7271,1.0
8236,12554,1.0
8820,8721,1.0
13732,13890,1.0
13890,19111,1.0
13732,16808,1.0
16808,16375,1.0
6974,7473,2.0
19004,14532,1.0
14532,13342,1.0
13342,18685,1.0
11815,15899,1.0
20760,10369,5.0
13243,10079,1.0
21261,11520,1.0
19789,10722,1.0
13352,21038,1.0
8779,14300,1.0
12092,16178,1.0
14279,10079,1.0
15598,21038,1.0
15373,13214,2.0
12749,20325,1.0
12385,12120,1.0
16972,13214,1.0
14536,18894,1.0
20724,14917,1.0
15315,19605,2.0
15608,18731,1.0
8190,20451,1.0
18029,11219,1.0
10414,7101,1.0
8686,7249,3.0
19411,12766,1.0
17744,17379,1.0
21482,18399,2.0
18399,21482,1.0
16747,15300,3.0
9171,16587,1.0
8578,19828,1.0
13796,8323,1.0
16928,18606,1.0
15517,7249,1.0
7249,18606,3.0
13360,9553,1.0
7473,17970,1.0
16882,12654,3.0
19615,18606,1.0
12655,8801,1.0
16385,9556,3.0
16385,20449,1.0
14060,21044,1.0
19169,13917,1.0
16390,7269,1.0
7269,11325,1.0
7418,20113,2.0
19301,13166,1.0
20016,16946,1.0
19144,11614,4.0
17469,8513,1.0
8513,10711,1.0
16375,10746,1.0
11194,12659,1.0
19958,9895,1.0
12019,10832,1.0
8404,17107,1.0
17346,15722,1.0
20202,15060,1.0
8587,16299,1.0
12480,20684,1.0
14131,13895,1.0
19489,19291,1.0
20044,13487,1.0
13274,12593,1.0
15517,9240,2.0
15898,11574,1.0
17456,14487,1.0
19886,17456,1.0
17456,13730,1.0
7401,17456,1.0
11541,14510,1.0
14272,9607,1.0
9607,9242,1.0
9242,11090,1.0
7705,10939,1.0
7705,20439,1.0
8182,10041,1.0
14248,17473,1.0
18928,15594,1.0
21268,9923,1.0
7091,19537,1.0
13318,15534,1.0
21026,21571,1.0
13455,9238,1.0
10605,21290,1.0
21290,19077,1.0
9238,7672,2.0
15040,14557,1.0
20805,10581,3.0
18451,17679,2.0
17679,12605,1.0
12749,21414,1.0
9238,13455,1.0
13455,16375,1.0
16375,8820,2.0
8820,8801,2.0
8801,12749,1.0
8161,20558,1.0
18544,20558,1.0
7054,17784,1.0
20970,20829,1.0
13842,10928,1.0
12960,11548,1.0
14124,20923,1.0
17221,17683,1.0
16421,18806,1.0
18806,21496,1.0
7024,14241,1.0
16212,18451,1.0
10581,21245,25.0
21245,13224,1.0
15891,11532,1.0
15891,10581,4.0
18451,18878,1.0
10581,11494,2.0
18451,21245,1.0
14827,12367,1.0
7544,10581,1.0
8329,19463,1.0
15891,7544,1.0
10631,10581,2.0
9818,19675,1.0
19675,9980,1.0
16178,12703,1.0
7968,11975,3.0
7086,7968,2.0
7968,16301,1.0
16301,13607,1.0
12988,12967,2.0
10876,8782,1.0
9980,12171,1.0
20527,8690,1.0
13004,15714,1.0
13004,13534,1.0
12525,7854,1.0
9240,14560,1.0
14750,17421,1.0
20453,16910,1.0
9895,14459,1.0
19397,11866,2.0
7455,18572,1.0
18572,11072,1.0
18612,10003,6.0
18606,20902,4.0
20074,18606,2.0
9505,13226,1.0
18745,16747,1.0
16747,12655,1.0
10269,21148,1.0
21148,10269,1.0
10269,11967,1.0
10269,8086,2.0
10248,11117,1.0
11117,12116,1.0
15385,9777,2.0
9124,20497,1.0
20497,15157,3.0
19270,20497,1.0
11639,11849,8.0
8498,19642,1.0
12662,9161,1.0
19217,17260,3.0
17260,19363,1.0
19363,8595,1.0
17260,19217,7.0
19217,7932,1.0
7932,19363,1.0
12969,13625,1.0
15068,10287,1.0
9845,21235,1.0
21235,15224,1.0
9298,8517,2.0
19709,10388,1.0
14124,16544,7.0
17927,18248,1.0
15354,17927,2.0
17927,15692,1.0
21347,15692,1.0
15354,21347,1.0
21347,8953,2.0
21320,18544,1.0
8837,9682,1.0
9682,13433,1.0
21347,15354,2.0
17985,7142,1.0
8189,14448,1.0
9266,8189,1.0
8462,10207,1.0
15176,20069,1.0
9266,21268,1.0
20694,8189,1.0
20833,15925,1.0
15925,18505,1.0
7473,13653,1.0
13653,7185,1.0
9964,13394,1.0
17633,11337,1.0
18505,19315,1.0
18457,20069,1.0
15010,14452,1.0
13675,17633,1.0
19615,12655,1.0
14804,11601,1.0
11601,12385,1.0
18191,8189,1.0
10541,19320,1.0
8073,7210,1.0
7210,15639,1.0
9896,17260,1.0
9703,17260,1.0
8751,9510,1.0
9510,19117,1.0
19117,20428,1.0
20768,8471,2.0
17369,15895,1.0
7827,15375,1.0
15375,10114,1.0
10114,15375,1.0
18569,7855,1.0
7827,7403,1.0
7403,17722,1.0
7404,11546,1.0
8916,14218,1.0
17816,11168,1.0
18617,13637,1.0
11168,17816,1.0
21210,17472,1.0
13477,14218,1.0
18367,13637,1.0
13477,16423,1.0
19143,13637,1.0
13477,21439,1.0
15634,10932,6.0
10932,10985,2.0
8671,11191,1.0
8796,18976,1.0
15816,10304,1.0
7171,11791,1.0
11791,9343,1.0
14919,15585,1.0
15585,20593,1.0
15816,13452,2.0
15816,18399,1.0
16090,18976,1.0
16154,12766,1.0
13573,8694,1.0
8700,8576,1.0
12821,17260,1.0
8302,11557,1.0
20410,20726,2.0
18749,8236,1.0
14944,20786,1.0
15071,21378,1.0
8220,20945,1.0
17350,17607,1.0
20945,17607,1.0
20434,13448,5.0
20453,20900,1.0
20044,16544,2.0
16010,13001,2.0
14326,18545,1.0
12023,18545,1.0
12542,18705,1.0
18606,20724,11.0
10029,15776,1.0
7249,18477,1.0
17598,8328,1.0
8328,7398,1.0
11557,19321,1.0
19321,17826,1.0
18481,13450,1.0
12504,18028,1.0
7686,8820,1.0
19885,8089,1.0
19358,14829,1.0
16532,17471,1.0
17471,16959,1.0
16959,15485,1.0
18596,19358,1.0
10745,16725,1.0
16511,19675,1.0
19358,14453,1.0
14453,19358,1.0
20009,13829,1.0
8517,20763,1.0
16646,19507,1.0
8517,18980,1.0
8517,9298,17.0
9298,11090,2.0
15978,13078,1.0
13078,9866,1.0
14124,18294,1.0
18606,12501,1.0
21452,16178,1.0
19368,15761,1.0
12649,19407,1.0
19407,20179,1.0
20515,20073,1.0
16581,11115,1.0
11115,14100,1.0
14100,15639,2.0
21477,16802,1.0
16802,7711,1.0
18615,20515,1.0
19837,14124,1.0
16680,15827,1.0
15827,13655,1.0
11345,18698,1.0
18698,19513,1.0
15761,12216,1.0
20132,12216,1.0
19242,17782,2.0
12184,9852,1.0
20943,11505,1.0
20428,16081,1.0
18637,14257,2.0
14257,18137,1.0
19673,9533,1.0
10274,11143,1.0
16655,9339,1.0
18606,12728,1.0
12728,18606,1.0
9697,8756,1.0
11152,20721,1.0
16144,7779,1.0
7779,14475,1.0
14475,14627,2.0
8719,14124,1.0
11755,20044,3.0
14124,10647,1.0
10690,20073,1.0
18615,17014,1.0
17051,10690,1.0
9576,20073,1.0
20073,15615,1.0
16544,15391,1.0
12276,19683,1.0
19683,18606,2.0
14059,16051,1.0
7068,8896,1.0
10270,20068,1.0
9245,16906,1.0
16906,17261,1.0
15580,21183,1.0
14033,20044,1.0
20044,8289,1.0
8289,16982,2.0
16982,11755,1.0
8730,10096,3.0
19480,16620,1.0
13538,14377,1.0
14815,16982,1.0
14124,9276,1.0
11110,9013,1.0
14377,12146,1.0
16982,8219,1.0
9173,20527,1.0
15926,12385,1.0
15926,16806,2.0
16806,16018,1.0
19352,12288,1.0
12288,15306,1.0
8677,11726,1.0
9837,10495,1.0
18294,8219,2.0
13342,11846,1.0
21414,16224,1.0
18019,13342,1.0
21358,11950,1.0
21063,21558,1.0
10835,9488,1.0
12655,15829,1.0
12956,19235,1.0
19537,9161,4.0
12385,10988,1.0
17485,10988,1.0
20451,8190,2.0
19286,17920,1.0
7466,10988,1.0
7466,16747,2.0
14124,10988,1.0
20624,17214,1.0
10988,7671,2.0
17985,9296,1.0
8527,18773,1.0
21399,9238,1.0
12656,8527,1.0
8190,8641,1.0
18606,10988,1.0
8527,10988,1.0
15331,8527,1.0
18606,17744,3.0
17604,8145,1.0
11072,9171,1.0
9171,15539,1.0
12655,18606,2.0
7175,7398,1.0
7249,13710,2.0
12655,11475,1.0
11475,12639,1.0
19208,14272,1.0
20569,19558,1.0
15952,13526,1.0
12272,12067,3.0
10890,9541,1.0
13526,14124,1.0
11763,15284,1.0
13435,12693,1.0
15208,13769,3.0
15328,15208,1.0
15266,9443,1.0
21236,15315,1.0
7395,12198,1.0
15604,17256,1.0
15604,17696,1.0
9599,18795,1.0
18795,7919,1.0
13014,15350,1.0
18099,8397,1.0
7841,14424,1.0
17182,7349,1.0
14461,8438,1.0
17744,18898,1.0
7527,6981,1.0
19529,8917,1.0
8917,15118,1.0
18227,9001,1.0
11601,19419,1.0
9086,14824,1.0
14805,12090,1.0
15568,16793,1.0
17721,11231,1.0
20315,11787,1.0
21063,15508,2.0
9238,18659,2.0
17571,7418,2.0
13796,7473,1.0
15925,7787,1.0
15912,13441,1.0
13441,19831,1.0
9238,7704,1.0
7704,14532,1.0
20405,7673,1.0
7673,7473,1.0
9238,8015,1.0
7704,8108,1.0
19210,8015,1.0
9238,11180,1.0
11180,8015,1.0
9238,8068,1.0
12143,13274,1.0
13274,18108,1.0
10337,9378,1.0
9378,20244,1.0
18660,10457,1.0
21204,7212,2.0
13782,16294,1.0
10206,9238,2.0
20527,21074,1.0
12385,21520,3.0
18329,7473,1.0
9338,14096,1.0
7103,9145,1.0
15335,19421,1.0
16811,19900,1.0
17093,14123,1.0
12766,15816,1.0
15816,16466,1.0
18395,9860,1.0
9860,15639,1.0
19603,14919,1.0
14919,20395,1.0
20395,12766,1.0
8190,7990,1.0
7990,10097,1.0
10097,16047,1.0
16047,10442,1.0
7990,6967,1.0
20624,15085,1.0
15085,8794,1.0
11992,14919,1.0
14919,11992,1.0
8812,11258,2.0
10542,12396,3.0
12396,16094,1.0
10542,8812,1.0
7285,8190,1.0
8190,17744,2.0
17744,19015,1.0
19015,18998,1.0
12396,21501,2.0
14575,10947,1.0
11394,20724,1.0
13473,9485,1.0
15988,14103,1.0
16178,11507,3.0
20101,11507,3.0
11507,9766,3.0
20101,15680,1.0
21371,20953,1.0
20953,12788,1.0
11939,11880,1.0
11880,16522,1.0
16522,15477,1.0
13022,7170,1.0
9669,9320,1.0
11909,10576,1.0
9320,9669,2.0
15700,9320,1.0
12732,9320,3.0
12732,9669,1.0
13120,19340,3.0
13318,13368,1.0
10868,19598,1.0
9143,15730,1.0
15730,15206,1.0
9836,19598,1.0
14103,18578,1.0
9143,21172,2.0
21172,9360,1.0
13447,20258,1.0
11791,20958,2.0
11791,12431,1.0
17114,10654,1.0
8219,20724,10.0
13654,10688,1.0
8550,10372,2.0
10372,7327,1.0
20904,15652,1.0
12562,20434,2.0
8791,20138,1.0
8791,18674,1.0
18294,17798,1.0
20506,13471,3.0
20428,12288,1.0
12288,15056,1.0
15056,16497,1.0
19176,18900,1.0
10809,6977,1.0
6977,8938,1.0
10389,18692,2.0
16747,12863,1.0
11264,10075,1.0
9060,15325,1.0
15325,10616,1.0
18708,17254,1.0
17998,18708,13.0
18708,19979,10.0
19979,18708,2.0
17998,19979,1.0
19979,17254,3.0
18708,17998,1.0
17117,10609,1.0
18708,20214,6.0
12988,16098,1.0
21169,7166,1.0
8696,16098,1.0
8719,20542,1.0
20774,21281,3.0
14459,15359,1.0
21204,12783,1.0
21204,11922,1.0
11922,20774,1.0
14459,8854,1.0
9378,7278,1.0
21241,17134,4.0
9565,10996,1.0
14042,16693,1.0
12655,12749,1.0
7225,10737,3.0
19803,11138,1.0
11138,9920,1.0
9920,11072,1.0
18434,11530,1.0
16301,12703,2.0
14789,20506,1.0
7031,10146,1.0
19783,19348,9.0
19348,20834,1.0
20834,21216,1.0
21585,7203,1.0
10885,19348,1.0
7200,16670,5.0
15463,13887,1.0
8517,21053,1.0
18075,19288,1.0
12863,7560,1.0
12039,12747,1.0
12039,12439,1.0
16375,12511,2.0
12511,8820,1.0
8820,11403,1.0
9681,9933,1.0
8189,16404,1.0
16375,15203,1.0
15203,12511,1.0
10303,11289,1.0
12107,16375,1.0
8189,9238,3.0
12511,17813,1.0
8820,15203,1.0
15203,8189,1.0
20234,7542,2.0
14396,14355,1.0
20707,15639,1.0
15639,8643,1.0
9417,8643,1.0
8643,13789,1.0
17048,16211,1.0
9417,17048,1.0
11117,11167,1.0
20865,10965,1.0
11861,11749,1.0
9238,20474,1.0
10988,20687,1.0
13847,18399,1.0
18399,17839,1.0
17839,16747,1.0
9488,21558,1.0
13085,14257,1.0
12988,17152,1.0
9882,18855,1.0
10478,7968,1.0
17618,9873,1.0
9873,14257,1.0
8236,7968,1.0
14257,8787,1.0
14257,9650,1.0
15816,19961,1.0
8374,13590,1.0
8820,10076,3.0
7473,14948,1.0
8189,10303,1.0
10303,16591,1.0
10003,20987,1.0
12936,20385,1.0
17146,10582,1.0
16060,17935,1.0
15816,16961,2.0
7475,18748,1.0
7968,21458,2.0
10816,20288,1.0
17110,19961,1.0
19961,7206,1.0
15796,11418,14.0
11418,20852,7.0
15796,20852,4.0
21416,15796,1.0
8173,21416,1.0
7914,15748,1.0
15748,10050,1.0
10050,19868,1.0
19868,11668,1.0
11668,7206,1.0
12662,20624,4.0
11747,7914,1.0
7914,12649,1.0
17110,7914,1.0
7914,17110,2.0
17505,11499,1.0
8219,15894,1.0
15894,7342,1.0
8719,15984,2.0
8219,7249,1.0
10899,16097,1.0
9947,19005,1.0
12259,12273,1.0
20605,21196,1.0
19005,8837,1.0
11263,18383,1.0
21196,20605,1.0
11263,16210,2.0
15115,9817,1.0
9234,17985,3.0
17985,14680,1.0
14680,20745,1.0
21349,15250,1.0
19154,11144,1.0
11144,17025,1.0
19154,9240,4.0
9240,9545,1.0
18041,14394,1.0
19901,7249,1.0
14124,13804,1.0
13277,15639,1.0
19603,9592,1.0
9592,21530,1.0
12928,18898,4.0
18898,11838,2.0
11838,20902,2.0
9320,15140,1.0
15140,15477,1.0
15477,20102,1.0
20102,12928,1.0
15639,7019,3.0
15120,20328,1.0
20328,9107,2.0
16319,7211,1.0
9245,12068,4.0
12714,14814,1.0
18802,18809,1.0
14814,12714,2.0
12714,21131,1.0
12626,12154,1.0
10788,11076,1.0
13824,11076,1.0
11076,10788,5.0
7728,18419,1.0
16581,18999,1.0
9357,11123,1.0
11507,11729,1.0
10789,15133,1.0
15133,16203,1.0
7968,13471,3.0
9993,7968,1.0
8161,11945,1.0
11945,10353,1.0
14124,17821,1.0
11076,7728,1.0
19275,21585,1.0
13296,16734,1.0
16734,8895,2.0
